No.,Time,Source,Destination,Length,Protocol,TCP Delta,Sequence Number,TCP Segment Len,ACK,Calculated window size,Bytes in flight,Info,Phase
153,1.200735,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,194218,1460,1,262144,48180,52343  >  5201[BoundErrorUnreassembled Packet],
154,1.200736,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,195678,1460,1,262144,49640,52343  >  5201[BoundErrorUnreassembled Packet],
155,1.200736,192.168.10.184,192.168.10.196,1514,iPerf3,0,197138,1460,1,262144,51100,52343  >  5201[BoundErrorUnreassembled Packet],
156,1.200851,192.168.10.196,192.168.10.184,54,TCP,0.000115,1,0,160638,212992,,5201  >  52343 [ACK] Seq=1 Ack=160638 Win=212992 Len=0,
157,1.200951,192.168.10.184,192.168.10.196,1514,iPerf3,0.0001,198598,1460,1,262144,39420,52343  >  5201[BoundErrorUnreassembled Packet],
158,1.200953,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,200058,1460,1,262144,40880,52343  >  5201[BoundErrorUnreassembled Packet],
159,1.200954,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,201518,1460,1,262144,42340,52343  >  5201[BoundErrorUnreassembled Packet],
160,1.200955,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,202978,1460,1,262144,43800,52343  >  5201[BoundErrorUnreassembled Packet],
161,1.200955,192.168.10.184,192.168.10.196,1514,iPerf3,0,204438,1460,1,262144,45260,52343  >  5201[BoundErrorUnreassembled Packet],
162,1.200956,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,205898,1460,1,262144,46720,52343  >  5201[BoundErrorUnreassembled Packet],
163,1.200957,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,207358,1460,1,262144,48180,52343  >  5201[BoundErrorUnreassembled Packet],
164,1.200958,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,208818,1460,1,262144,49640,52343  >  5201[BoundErrorUnreassembled Packet],
165,1.200959,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,210278,1460,1,262144,51100,52343  >  5201[BoundErrorUnreassembled Packet],
166,1.20096,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,211738,1460,1,262144,52560,52343  >  5201[BoundErrorUnreassembled Packet],
167,1.200962,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,213198,1460,1,262144,54020,52343  >  5201[BoundErrorUnreassembled Packet],
168,1.202914,192.168.10.196,192.168.10.184,54,TCP,0.001952,1,0,166478,212992,,5201  >  52343 [ACK] Seq=1 Ack=166478 Win=212992 Len=0,
169,1.203036,192.168.10.184,192.168.10.196,1514,iPerf3,0.000122,214658,1460,1,262144,49640,52343  >  5201[BoundErrorUnreassembled Packet],
170,1.203037,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,216118,1460,1,262144,51100,52343  >  5201[BoundErrorUnreassembled Packet],
171,1.203038,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,217578,1460,1,262144,52560,52343  >  5201[BoundErrorUnreassembled Packet],
172,1.203039,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,219038,1460,1,262144,54020,52343  >  5201[BoundErrorUnreassembled Packet],
173,1.203039,192.168.10.184,192.168.10.196,1514,iPerf3,0,220498,1460,1,262144,55480,52343  >  5201[BoundErrorUnreassembled Packet],
174,1.203041,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,221958,1460,1,262144,56940,52343  >  5201[BoundErrorUnreassembled Packet],
175,1.324091,192.168.10.196,192.168.10.184,54,TCP,0.12105,1,0,176698,212992,,5201  >  52343 [ACK] Seq=1 Ack=176698 Win=212992 Len=0,
